clima,value,trait
nclim,0.232300328711669,aleaf_cwm
nclim,0.291397503018379,aleaf_cwm
nclim,0.301712599396706,aleaf_cwm
nclim,0.321871700882912,aleaf_cwm
nclim,0.312893798947334,aleaf_cwm
nclim,0.313520604372025,aleaf_cwm
nclim,0.296796002984047,aleaf_cwm
nclim,0.35075389444828,aleaf_cwm
nclim,0.344672703742981,aleaf_cwm
nclim,0.338649302721024,aleaf_cwm
nclim,0.349216002225876,aleaf_cwm
nclim,0.314759096503258,aleaf_cwm
nclim,0.323232805728912,aleaf_cwm
nclim,0.326121497154236,aleaf_cwm
nclim,0.32502110004425,aleaf_cwm
nclim,0.326991400122642,aleaf_cwm
nclim,0.318441298604012,aleaf_cwm
nclim,0.394656002521515,aleaf_cwm
nclim,0.390614986419678,aleaf_cwm
nclim,0.277475601434708,aleaf_cwm
nclim,0.327649196982384,aleaf_cwm
nclim,0.329813298583031,aleaf_cwm
nclim,0.330629399418831,aleaf_cwm
nclim,0.330589401721954,aleaf_cwm
nclim,0.329204702377319,aleaf_cwm
nclim,0.329209795594215,aleaf_cwm
nclim,0.330254203081131,aleaf_cwm
nclim,0.331047096848488,aleaf_cwm
nclim,0.330549600720406,aleaf_cwm
nclim,0.329667502641678,aleaf_cwm
nclim,0.319612503051758,aleaf_cwm
nclim,0.413271009922028,aleaf_cwm
nclim,0.28387950360775,aleaf_cwm
nclim,0.202074006199837,aleaf_cwm
nclim,0.23063932855924,aleaf_cwm
nclim,0.340885302424431,aleaf_cwm
nclim,0.330018299818039,aleaf_cwm
nclim,0.331017997860909,aleaf_cwm
nclim,0.332772997021675,aleaf_cwm
nclim,0.333309400081635,aleaf_cwm
nclim,0.333105999231338,aleaf_cwm
nclim,0.332067701220512,aleaf_cwm
nclim,0.329292404651642,aleaf_cwm
nclim,0.331675997376442,aleaf_cwm
nclim,0.33276230096817,aleaf_cwm
nclim,0.333480301499367,aleaf_cwm
nclim,0.332884299755096,aleaf_cwm
nclim,0.325108897686005,aleaf_cwm
nclim,0.276042598485947,aleaf_cwm
nclim,0.277818596363068,aleaf_cwm
nclim,0.252556796371937,aleaf_cwm
nclim,0.28689169883728,aleaf_cwm
nclim,0.254097804427147,aleaf_cwm
nclim,0.340882897377014,aleaf_cwm
nclim,0.334976702928543,aleaf_cwm
nclim,0.331324899196625,aleaf_cwm
nclim,0.333301398158073,aleaf_cwm
nclim,0.334081500768661,aleaf_cwm
nclim,0.334175899624825,aleaf_cwm
nclim,0.334124702215195,aleaf_cwm
nclim,0.334177097678184,aleaf_cwm
nclim,0.333617597818375,aleaf_cwm
nclim,0.333142599463463,aleaf_cwm
nclim,0.332653200626373,aleaf_cwm
nclim,0.33274219930172,aleaf_cwm
nclim,0.333937695622444,aleaf_cwm
nclim,0.334312295913696,aleaf_cwm
nclim,0.330984902381897,aleaf_cwm
nclim,0.283961197733879,aleaf_cwm
nclim,0.291364014148712,aleaf_cwm
nclim,0.275130999088287,aleaf_cwm
nclim,0.308395701646805,aleaf_cwm
nclim,0.311489298939705,aleaf_cwm
nclim,0.328648400306702,aleaf_cwm
nclim,0.288944202661514,aleaf_cwm
nclim,0.33156710267067,aleaf_cwm
nclim,0.333315092325211,aleaf_cwm
nclim,0.330308997631073,aleaf_cwm
nclim,0.333878800272942,aleaf_cwm
nclim,0.334128201007843,aleaf_cwm
nclim,0.334364500641823,aleaf_cwm
nclim,0.334379208087921,aleaf_cwm
nclim,0.334479400515556,aleaf_cwm
nclim,0.33443089723587,aleaf_cwm
nclim,0.3344132989645,aleaf_cwm
nclim,0.334162902832031,aleaf_cwm
nclim,0.333138304948807,aleaf_cwm
nclim,0.332457301020622,aleaf_cwm
nclim,0.334180599451065,aleaf_cwm
nclim,0.334245401620865,aleaf_cwm
nclim,0.33311320245266,aleaf_cwm
nclim,0.329329100251198,aleaf_cwm
nclim,0.326150697469711,aleaf_cwm
nclim,0.320884904265404,aleaf_cwm
nclim,0.327221602201462,aleaf_cwm
nclim,0.327020302414894,aleaf_cwm
nclim,0.323476296663284,aleaf_cwm
nclim,0.287992602586746,aleaf_cwm
nclim,0.318157497048378,aleaf_cwm
nclim,0.328120499849319,aleaf_cwm
nclim,0.332596600055695,aleaf_cwm
nclim,0.333628898859024,aleaf_cwm
nclim,0.333527600765228,aleaf_cwm
nclim,0.33418730199337,aleaf_cwm
nclim,0.334489700198174,aleaf_cwm
nclim,0.335077497363091,aleaf_cwm
nclim,0.335071796178818,aleaf_cwm
nclim,0.33522569835186,aleaf_cwm
nclim,0.334652498364449,aleaf_cwm
nclim,0.333588603138924,aleaf_cwm
nclim,0.333212494850159,aleaf_cwm
nclim,0.333322101831436,aleaf_cwm
nclim,0.332877099514008,aleaf_cwm
nclim,0.330463600158691,aleaf_cwm
nclim,0.331652700901031,aleaf_cwm
nclim,0.329958805441856,aleaf_cwm
nclim,0.321885302662849,aleaf_cwm
nclim,0.261859099566936,aleaf_cwm
nclim,0.318194901943207,aleaf_cwm
nclim,0.330890497565269,aleaf_cwm
