# Exportar arquivo de mapa de cores gerado pela QGIS
INTERPOLATION:INTERPOLATED
0,68,1,84,255,0
0.107,71,20,103,255,0.107
0.213,71,38,119,255,0.213
0.32,69,55,129,255,0.32
0.427,63,70,137,255,0.427
0.533,57,85,139,255,0.533
0.64,50,99,141,255,0.64
0.747,44,112,142,255,0.747
0.853,40,125,142,255,0.853
0.96,34,138,142,255,0.96
1.07,31,150,139,255,1.07
1.17,32,163,134,255,1.17
1.28,41,175,127,255,1.28
1.39,60,188,116,255,1.39
1.49,86,199,102,255,1.49
1.6,115,208,85,255,1.6
1.71,148,216,64,255,1.71
1.81,184,223,41,255,1.81
1.92,220,227,25,255,1.92
2.03,253,231,37,255,2.03
