# Exportar arquivo de mapa de cores gerado pela QGIS
INTERPOLATION:INTERPOLATED
0,68,1,84,255,0
0.585,71,20,103,255,0.585
1.17,71,38,119,255,1.17
1.75,69,55,129,255,1.75
2.34,63,70,137,255,2.34
2.92,57,85,139,255,2.92
3.51,50,99,141,255,3.51
4.09,44,112,142,255,4.09
4.68,40,125,142,255,4.68
5.26,34,138,142,255,5.26
5.85,31,150,139,255,5.85
6.43,32,163,134,255,6.43
7.02,41,175,127,255,7.02
7.6,60,188,116,255,7.6
8.18,86,199,102,255,8.18
8.77,115,208,85,255,8.77
9.35,148,216,64,255,9.35
9.94,184,223,41,255,9.94
10.5,220,227,25,255,10.5
11.1,253,231,37,255,11.1
