# Exportar arquivo de mapa de cores gerado pela QGIS
INTERPOLATION:INTERPOLATED
0.336,68,1,84,255,0.336
0.411,71,20,103,255,0.411
0.487,71,38,119,255,0.487
0.562,69,55,129,255,0.562
0.637,63,70,137,255,0.637
0.713,57,85,139,255,0.713
0.788,50,99,141,255,0.788
0.863,44,112,142,255,0.863
0.938,40,125,142,255,0.938
1.01,34,138,142,255,1.01
1.09,31,150,139,255,1.09
1.16,32,163,134,255,1.16
1.24,41,175,127,255,1.24
1.32,60,188,116,255,1.32
1.39,86,199,102,255,1.39
1.47,115,208,85,255,1.47
1.54,148,216,64,255,1.54
1.62,184,223,41,255,1.62
1.69,220,227,25,255,1.69
1.77,253,231,37,255,1.77
