# Exportar arquivo de mapa de cores gerado pela QGIS
INTERPOLATION:INTERPOLATED
0.191,68,1,84,255,0.191
0.339,71,20,103,255,0.339
0.487,71,38,119,255,0.487
0.634,69,55,129,255,0.634
0.782,63,70,137,255,0.782
0.929,57,85,139,255,0.929
1.08,50,99,141,255,1.08
1.22,44,112,142,255,1.22
1.37,40,125,142,255,1.37
1.52,34,138,142,255,1.52
1.67,31,150,139,255,1.67
1.81,32,163,134,255,1.81
1.96,41,175,127,255,1.96
2.11,60,188,116,255,2.11
2.26,86,199,102,255,2.26
2.4,115,208,85,255,2.4
2.55,148,216,64,255,2.55
2.7,184,223,41,255,2.7
2.85,220,227,25,255,2.85
3,253,231,37,255,3
